,text,type,counts
837,Peter,PER,629
1086,Trine,PER,409
555,Konov,PER,153
1111,Uffe,PER,132
338,Gud,PER,101
103,Berlin,LOC,71
561,Konow,PER,70
363,Hamborg,LOC,48
989,Signe,PER,47
941,Rusland,LOC,47
714,Musse,PER,44
128,Braunsberg,LOC,39
1011,Skærbæk,LOC,38
911,Regt,PER,34
137,Bromberg,PER,33
864,Petersen,PER,33
1105,Tyskland,LOC,29
884,Poulsen,PER,29
671,Maren,PER,25
455,Iver,PER,21
305,Fyn,LOC,21
265,Feldv,PER,21
414,Hindenburg,LOC,21
750,Niels,PER,20
130,Braunsberg,PER,19
641,Løtzen,LOC,18
289,Frankrig,LOC,18
351,Hadersleben,LOC,18
339,Guds,PER,18
116,Bodil,PER,18
655,Madsen,PER,16
44,Anna,PER,16
60,Arys,PER,15
1099,Trinelil,PER,15
135,Bromberg,LOC,14
752,Niels Kjær,PER,14
316,Gefr,ORG,14
366,Hamburg,LOC,13
721,Mærsk,PER,13
929,Roagger,PER,13
1102,Truls,PER,13
1107,Tønder,LOC,13
144,Buroet,LOC,13
1020,Spandau,LOC,12
1008,Skopnik,PER,11
664,Major,PER,11
403,Henningsen,PER,11
593,Laon,LOC,11
272,Feldw,PER,11
281,Frankfurt,LOC,10
190,Danmark,LOC,10
317,Gefr,PER,10
979,Schwartz,PER,10
436,Hygum,LOC,10
376,Hans Nissen,PER,10
608,Leutn,PER,10
426,Holst,PER,10
901,Ravnholt,LOC,9
755,Niels Skau,PER,9
416,Hindenburg,PER,9
227,Ellen,PER,9
427,Holstein,LOC,9
64,Asmus,PER,9
89,Batl,ORG,9
236,Ensisheim,LOC,8
357,Halle,LOC,8
478,Jelovka,LOC,8
818,P. Jensen,PER,8
1100,Trines,PER,8
711,Moer,PER,8
1037,Stendal,LOC,8
910,Regt,ORG,8
358,Halle,PER,8
809,P. Barsballe,PER,8
80,Bakkely,PER,7
452,Isenheim,LOC,7
152,Callesen,PER,7
1146,Vodder,LOC,7
785,Ole,PER,7
861,Peterlil,PER,7
996,Sine,PER,7
277,Flensborg,LOC,7
491,Jes,PER,7
398,Hejmdal,PER,7
368,Hannover,LOC,7
480,Jens,PER,7
560,Konovs,PER,6
1071,Thomas Nielsen,PER,6
768,Nyborg,LOC,6
944,Ryslinge,LOC,6
26,Allenstein,LOC,6
29,Altona,LOC,6
353,Hadersleben,PER,6
1170,Wilhelm,PER,6
740,N. Kjær,PER,6
594,Laon,PER,6
269,Feldveblen,PER,6
111,Bialla,LOC,6
409,Hindenborg,LOC,6
922,Ribe,LOC,6
1127,Vallekilde,LOC,6
431,Holstein Poststempel,ORG,6
442,Højskolebladet,ORG,6
642,Løtzen,PER,6
235,England,LOC,6
324,Georg Stilke,PER,6
209,Dorthea,PER,6
696,Marne,PER,6
454,Italien,LOC,6
1056,Søren Møller,PER,6
232,Elsass,LOC,6
1155,Walter,PER,6
700,Marsk,PER,6
355,Haderslev,LOC,5
400,Hejsel,PER,5
1003,Skibelund,LOC,5
397,Hejmdal,ORG,5
1149,Vojens,LOC,5
645,M.,ORG,5
993,Sigrid,PER,5
1116,Uffes,PER,5
334,Grete,PER,5
1081,Toftlund,LOC,5
900,Ravnholdt,PER,5
67,Astrid,PER,5
773,Oberstl,PER,5
1070,Thomas,PER,5
1053,Søren,PER,5
104,Berlin NW,LOC,5
698,Marsk,LOC,5
428,Holstein,ORG,5
1092,Trine Gad Roagger,PER,5
600,Laz,LOC,5
764,Nordslesvig,LOC,5
513,Jørn,PER,5
695,Marne,LOC,5
113,Birkelev,LOC,5
253,Feldburg,LOC,5
1067,Thelegram,PER,5
718,Märsk,PER,5
1248,Åbling,LOC,4
456,Ivers,PER,4
59,Arys,LOC,4
256,Feldm,PER,4
623,Lodz,LOC,4
949,Røde Kors,ORG,4
463,J. P. Marsk Roagger,PER,4
886,Povl,PER,4
909,Regt,LOC,4
848,Peter Gad,PER,4
382,Hauptm,PER,4
267,Feldvebel,PER,4
824,P. Varming,PER,4
766,Novo Aleksandrov,LOC,4
731,Mühlhausen,PER,4
158,Cessieres,PER,4
393,Heinrich,PER,4
429,Holstein,PER,4
879,Postvæsenet,ORG,4
336,Grodno,LOC,4
797,Orlau,LOC,4
570,Kreis Hadersleben,PER,4
230,Elmshorn,LOC,4
407,Herrn,PER,4
1189,buroet,LOC,4
673,Maren Fog,PER,4
708,Meiske,PER,4
916,Rendsborg,LOC,4
97,Beerbohm,PER,4
807,P.,PER,4
530,Kiel,LOC,4
492,Jes Mærsk,PER,4
1156,Walter Henningsen,PER,4
243,Ersatz Batl,ORG,4
371,Hans,PER,4
346,H. Nissen,PER,4
1052,Sønderjylland,LOC,3
1062,Tannenberg,LOC,3
855,Peter Mærsk,PER,3
296,Frifeld,LOC,3
1065,Theatret,LOC,3
224,Elbing,LOC,3
596,Laurids Lund,PER,3
633,Lundsmark,LOC,3
271,Feldw,ORG,3
268,Feldveblen,ORG,3
862,Peters,PER,3
1039,Stenderup,LOC,3
1038,Stendal,PER,3
242,Ersatz Batl,LOC,3
1089,Trine Gad,PER,3
215,Døstrup,LOC,3
344,H. Jørgen,PER,3
342,Gånsager,LOC,3
580,København,LOC,3
221,Eisner,PER,3
377,Hansen,PER,3
810,P. Barsballes,PER,3
568,Kovno,PER,3
546,Kjærs,PER,3
122,Borovikischki,PER,3
543,Kjestine Lastejn,PER,3
685,Maria,PER,3
1236,udlov,LOC,3
99,Belgien,LOC,3
535,Kirstine,PER,3
95,Becker,PER,3
88,Batl,LOC,3
729,Mühlhausen,LOC,3
960,Sandbjærg,LOC,3
528,Keks,PER,3
943,Russerne,LOC,3
723,Mærsk Regt,PER,3
703,Martha,PER,3
77,B.,PER,3
720,Mærsk,ORG,3
784,Offz,PER,3
1210,j eg,PER,3
1213,kanske,PER,3
1174,Wilna,PER,3
65,Asmus Rahr,PER,3
487,Jens Thøjsen,PER,3
674,Maren Hansen,PER,3
924,Rigsdagen,ORG,3
1154,Waldighofen,LOC,3
151,Caffe,ORG,3
646,M.,PER,3
401,Hemming,PER,3
992,Signes,PER,3
885,Poulsens,PER,3
297,Frifeldt,PER,2
498,Johanne,PER,2
1043,Strass-borg,LOC,2
461,J. P. Marsk,PER,2
920,Rhinen,LOC,2
1044,Strassburg,LOC,2
501,Johannes,PER,2
465,J. P. Mærsk,PER,2
521,Kais,PER,2
857,Peter Petersen,PER,2
303,Fritz Schwarz,PER,2
474,Jan,PER,2
495,Jetzow,LOC,2
516,K.,PER,2
485,Jens Cl .,PER,2
512,Jørgen Jensen,PER,2
927,Roager,PER,2
595,Laurids,PER,2
507,Juelsberg skoven,LOC,2
477,Japan,LOC,2
481,Jens Barsballe,PER,2
523,Kanske,PER,2
932,Roagger Sogn,LOC,2
302,Fritz Schwartz,PER,2
509,Jylland,LOC,2
486,Jens Thomsens,PER,2
510,Jørgen,PER,2
867,Pindsen,LOC,2
951,Rønne,PER,2
345,H. Lassen,PER,2
412,Hindenborgs,PER,2
547,Kloster,LOC,2
982,Schwerin,LOC,2
548,Koager,LOC,2
550,Komp,ORG,2
891,Pulversheim Schonheim,LOC,2
399,Hejsel,LOC,2
952,S.,ORG,2
380,Harzen,LOC,2
375,Hans Mouritzen,PER,2
1004,Skibelund Krat,LOC,2
878,Posthuset,LOC,2
566,Kosmorama,LOC,2
567,Kovno,LOC,2
544,Kjirsten,PER,2
337,Grodno,PER,2
973,Schlesvig-Holstein,LOC,2
540,Kittel,PER,2
897,Ravnhold,LOC,2
898,Ravnhold,PER,2
333,Grense,LOC,2
440,Højer,PER,2
582,Køln,LOC,2
583,Kønigsberg,LOC,2
1029,Staden,LOC,2
958,San,PER,2
585,L. Johansen,PER,2
364,Hamborg Hovedbanegård,LOC,2
446,III Batl,ORG,2
1035,Steinse,LOC,2
956,Saint du Nord,LOC,2
1055,Søren Jensen,PER,2
1079,Tinglef,LOC,2
602,Lazaret,LOC,2
637,Lyk,LOC,2
799,Ostpr,LOC,2
800,Ostpr,ORG,2
119,Bollweiler,LOC,2
1177,Zollenspieker,PER,2
802,Ostpreussen,LOC,2
678,Maren Mærsk,PER,2
126,Brandenburger Tor,LOC,2
1172,Willa Fred,PER,2
1171,Wilhelm Konow,PER,2
136,Bromberg,ORG,2
672,Maren Bøjlesen,PER,2
814,P. Gads,PER,2
157,Cessieres,LOC,2
1147,Vodder,PER,2
1144,Vittenberge,LOC,2
653,Mads,PER,2
821,P. Maler,PER,2
826,P.G.,PER,2
178,Colmar,LOC,2
1131,Varschau,PER,2
1130,Varschau,LOC,2
1129,Valter,PER,2
182,Coulonge,LOC,2
183,Crepy,LOC,2
184,Cöln,LOC,2
185,Cøln,LOC,2
1125,V.C.,PER,2
191,Danmarks,LOC,2
192,Dannevirke,LOC,2
1182,aa,PER,2
688,Marie,PER,2
690,Marjanovka,LOC,2
725,Mærsk Roagger,PER,2
1260,Østpreussen,LOC,2
1259,Østersøen,LOC,2
747,Namur,LOC,2
10,Ablings,ORG,2
1253,Østen,LOC,2
1251,Ålen,PER,2
742,N. Skau,PER,2
23,Aleksandrov,LOC,2
735,München,LOC,2
30,Amalie,PER,2
732,Mülhausen,LOC,2
35,Anders Thomsen,PER,2
728,Møller,PER,2
42,Angerburg,LOC,2
693,Mark,PER,2
774,Oberstleutn,PER,2
49,Anne Tønder,PER,2
1220,lee,PER,2
712,Montenegro,LOC,2
62,Aryz,LOC,2
63,Aryz,PER,2
76,B.,ORG,2
79,Bakkely,LOC,2
787,Ole Jessen,PER,2
788,Oles,PER,2
1202,hans Leutn,PER,2
85,Barsballe,LOC,2
1197,fr.,PER,2
830,PM,ORG,2
813,P. Gad,PER,2
832,Paris,LOC,2
621,Lods,LOC,2
238,Eriksen,PER,2
1088,Trine G. Mærsk,PER,2
618,Lise,PER,2
1085,Trier,PER,2
248,Faer,PER,2
1080,Titanics,PER,2
613,Lieber,PER,2
255,Feldlaz,LOC,2
257,Feldmarschall,LOC,2
1075,Thorvald,PER,2
849,Peter Gefr,PER,2
1073,Thorn,LOC,2
262,Feldpoststation,LOC,2
273,Feldwebel,PER,2
1068,Thelephonen,PER,2
278,Flieger,PER,2
282,Frankfurt a / M,LOC,2
284,Frankfurt a / M.,ORG,2
854,Peter Marsk,PER,2
1059,T.,PER,2
290,Frau,PER,2
1091,Trine Gad Ravnhold,PER,2
502,Johannes Petersen,PER,2
628,Ludvig,PER,2
631,Ludvigs,PER,2
1103,Tyrkiet,LOC,2
1,A.O.K.,LOC,2
872,Poniewiez,PER,1
779,Odense,LOC,1
