noun,freq
dag,856
aften,560
tak,515
dage,503
brev,496
tid,464
forældre,431
kl.,354
mor,330
morgen,300
hilsener,290
par,273
gang,240
far,183
mand,181
hilsner,181
nat,179
går,172
brevet,167
breve,164
hilsen,162
pakke,162
ro,155
pakker,151
gud,134
post,129
kaffe,129
år,127
stykke,122
søndag,118
orlov,117
dagen,114
jul,106
del,104
brød,101
seng,96
tanker,94
ting,94
pige,94
tiden,88
lov,86
middag,85
kvarter,85
tur,83
posten,82
udlov,82
plads,81
penge,81
folk,79
krigen,78
kilom,77
natten,76
mark,75
eftermiddag,74
majoren,74
pakken,73
fronten,71
lyst,70
vejr,66
stue,66
smør,65
time,64
ord,63
staben,63
m.,61
timer,60
aar,60
aftenen,60
byen,60
kort,60
kone,59
fødselsdag,58
fred,58
kammerat,58
vinter,57
pakkerne,56
kæreste,55
gange,55
billede,54
vej,54
morgenen,54
vejen,53
toget,53
komp,52
hjem,52
hus,51
ven,50
feldveblen,50
sted,47
tjæneste,47
sager,47
formiddag,46
tøj,45
kammerater,45
krig,44
brevene,43
julen,43
strømper,43
adr.,42
uger,42
vagt,42
side,41
reg.,41
tobak,41
lørdag,40
slags,40
hovedet,40
stilling,40
orden,40
stykker,39
lys,39
arbejde,39
stuen,39
uge,36
pengene,36
vogn,35
skyld,34
grund,34
skoven,34
pund,34
sukker,34
russerne,33
kys,33
mening,30
lejlighed,30
pølse,30
underofficer,30
freden,30
vinteren,29
påske,29
by,29
musse,29
p,29
kartofler,29
  ,29
poststempel,29
heste,28
ret,28
cigarer,28
sommer,27
morbror,27
middagsmad,26
hauptmanden,26
støvler,26
vand,26
orloven,26
måde,26
august,26
juli,26
forholdene,26
div.,26
siden,25
gefr,25
ende,25
soldat,25
skyttegraven,25
turen,24
søster,24
danskere,24
sengen,24
sagerne,24
æg,24
vogne,24
juleaften,24
forgårs,24
mennesker,23
besked,23
skov,23
minutter,23
rejsen,23
kop,23
soldater,23
rejse,23
billeder,23
eder,23
æbler,23
regnvejr,23
døren,22
steder,22
peter,22
regn,22
korporalskab,22
sne,22
transport,22
no,22
kortet,22
lykke,21
glæde,21
kilo,21
ild,21
sæbe,21
stab,21
kiste,21
fredag,20
aftes,20
grænsen,20
tanke,20
mandag,20
halm,20
cykle,20
søn,20
artilleri,20
forhold,20
tropper,20
efterm,20
fald,19
buroet,19
chocolade,19
sider,19
bordet,19
besøg,19
hjørne,19
liv,19
officerer,19
solen,19
kage,19
tider,19
spørgsmål,18
underofficerer,18
melding,18
cyklen,18
levnedsmidler,18
batl,18
herrer,18
grunden,17
overmorgen,17
måned,17
bord,17
m,17
førstningen,17
febr.,17
tornyster,17
banen,17
mod,17
thelegram,17
regt,17
forretning,17
tirsdag,16
ugen,16
russen,16
stedet,16
trine,16
mors,16
tale,16
påsken,16
kulde,16
navn,16
ordonans,16
hjælp,16
gefægtstanden,16
søvn,15
dame,15
karle,15
gården,15
snak,15
øl,15
p.,15
hauptmand,15
feldvebel,15
generalen,15
okt.,15
sept.,15
artilleriet,15
pibe,15
slag,15
køkkenet,15
luften,15
graven,15
nr.,15
tab,15
marken,14
eftermiddagen,14
jorden,14
familie,14
papir,14
tankerne,14
billedet,14
kød,14
march,14
hånd,14
hest,14
veje,14
linie,14
vognen,14
stillingen,14
franskmanden,14
gaar,13
menneske,13
huset,13
øjnene,13
hestene,13
plan,13
piger,13
onsdag,13
måneder,13
gård,13
dreng,13
underbukser,13
behov,13
udloven,13
guds,13
brug,13
tante,13
hår,13
kakkelovn,13
aviser,13
billederne,13
bryllup,12
sagen,12
kirke,12
arm,12
