,nouns
0,tak
1,søndag
2,kommandoen
3,mor
4,gaar
5,meningen
6,far
7,mejeriet
8,april
9,par
10,heste
11,foraaret
12,skam
13,døren
14,rygtet
15,mejeriet
16,far
17,rygte
18,folk
19,snakket
20,stien
21,mening
22,gaar
23,gaansager
24,opvisningen
25,tanker
26,bryllup
27,dyrskuet
28,aften
29,blyant
30,pennen
31,vinduet
32,tid
33,brev
34,tirsdag
35,morgen
36,fotografi
37,aften
38,par
39,ryslinge-kammerater
40,skjælm
41,ro
42,timer
43,tanker
44,tiden
45,uge
46,hensyn
47,brev
48,ballet
49,modstandskraft
50,forkølelsen
51,søndag
52,del
53,tanker
54,broder
55,gaarden
56,lyst
57,landbrugskandidat
58,opvisningen
59,skyld
60,turen
61,fremmede
62,dag
63,kæreste
64,vinteren
65,graansager
66,søndag
67,sags
68,skyld
69,brev
70,pennen
71,hjertet
72,pennen
73,hilsener
74,brev
75,rygterne
76,sagen
77,mejeriet
78,brev
79,søndag
80,tiden
81,tanker
82,kirke
83,gaar
84,bedstemoder
85,bedstemor
86,gud
87,ord
88,iver
89,dage
90,cykel
91,vejret
92,aften
93,ringridningen
94,gang
95,række
96,grunden
97,record
98,mennesker
99,skibelundfesten
100,vejr
101,gardisten
102,natten
103,kjøbenhoved
104,støtte
105,menneske
106,lier
107,huset
108,besked
109,mor
110,aften
111,nat
112,eftermiddag
113,dag
114,tid
115,bolden
116,søndag
117,eftermiddag
118,ur
119,forsamlingshuset
120,dag
121,kl.
122,koager
123,stilhed
124,vejen
125,hilsen
126,tak
127,brevet
128,aften
129,marken
130,mor
131,papirer
132,tilstand
133,kuverter
134,ørerne
135,indholdet
136,fald
137,ting
138,tiden
139,rejsegildet
140,times
141,tid
142,iver
143,vejr
144,breve
145,dag
146,tid
147,roerne
148,jakke
149,øjnene
150,tanker
151,søndag
152,hilsen
153,lykke
154,fødselsdag
155,hurra
156,far
157,mor
158,tak
159,indbydelsen
160,fodbold
161,dag
162,hoager
163,cykel
164,hestene
165,opmuntring
166,vejen
167,åbling
168,dag
169,frø
170,karl
171,aar
172,skolen
173,opvisningen
174,time
175,bænk
176,gang
177,diletanten
178,fodbold
179,mandatet
180,formand
181,pigerne
182,brev
183,hilsen
184,gang
185,eftermiddag
186,dag
187,tid
188,bolden
189,søndag
190,eftermiddag
191,ur
192,forsamlingshuset
193,dag
194,kl.
195,koager
196,stilhed
197,vejen
198,hilsen
199,brev
200,humor
201,søndag
202,eftermiddag
203,dit
204,brev
205,tak
