id,letter_id,sentence,letter_sentence_index,afinn_score,sentida_score
0,1,Min egen kære Trine.,0,2.0,0.626666666666668
1,1,Tak for sidst.,1,2.0,0.43333333333333407
2,1,Jeg er saa forkølet at jeg snart ikke kan snakke.,2,0.0,-0.111111111111111
3,1,Det er jo kedelig nu til Søndag for Kommandoen.,3,-2.0,-0.511111111111112
4,1,"Og Mor kan slet ikke forstaa, hvorledes jeg kan være bleven det.",4,0.0,0.566666666666666
5,1,Jeg kan naturligvis heller ikke.,5,0.0,-0.05185185185185184
6,1,Hvorledes har du det.,6,0.0,0.0
7,1,"I Gaar var det egentlig Meningen, at jeg skulde have rejst.",7,0.0,0.0666666666666666
8,1,Jeg vilde have fortalt dig det sidst vi taltes; men saa forglemte jeg det.,8,0.0,-0.01666666666666669
9,1,Far er nemlig bleven udklar med Jørgen Jensen angaaende Mejeriet.,9,0.0,0.11333333333333404
10,1,Og saa skulde J. Jensen have rejst 1. April.,10,0.0,0.0666666666666666
11,1,Og saa skulde jeg have været derover med et par Heste nu i Foraaret.,11,0.0,0.0333333333333334
12,1,Men saa syntes vi at det var en Skam saadan at sætte dem paa Døren.,12,-2.0,-0.9777777777777781
13,1,"Det er nemlig ham, der har sat Rygtet ud om Mejeriet, og nu er det ham, der siger, at Far har sagt det.",13,0.0,0.18000000000000083
14,1,Du har vel hørt det.,14,0.0,0.1333333333333334
15,1,Men det er jo ellers en kedelig Rygte at have paa sig.,15,-2.0,-0.5777777777777786
16,1,"Jeg ved ikke; men jeg synes alle Folk ser saa skævt til mig siden det er kommen ud, og mig angaar det jo endda slet ikke.",16,0.0,-0.4166666666666662
17,1,"Du gør da ikke, kære Trine ?",17,2.0,0.626666666666668
18,1,Vi havde det ellers helt morsomt til Ballet.,18,0.0,0.3333333333333326
19,1,"Jeg kom til at følges med hende derhenne fra Fårup, jeg ved ikke, hvad hun hed, fra Andres Andersen.",19,0.0,0.11111111111111122
20,1,"Og nu gaar Snakket, at jeg har fulgt hende hjem.",20,0.0,0.19444444444444442
21,1,Anders Thøjsen kom rigtignok til os ved Stien fra Kirkeby; men det er der ingen der ved.,21,0.0,0.0166666666666667
22,1,Lad dem kun gaa i den Mening.,22,0.0,-0.06666666666666679
23,1,"Men jeg tænkte rigtignok, blot det havde været dig, kære Trine.",23,2.0,0.6155555555555569
24,1,I Gaar var vi jo i Gaansager.,24,0.0,0.0
25,1,"Jeg syntes ikke, jeg kunde være bekendt at blive hjemme.",25,0.0,0.08333333333333343
26,1,"Men jeg synes altid, jeg mangler nogen, naar du ikke er der.",26,-2.0,-0.07777777777777711
27,1,Blot vi ikke havde haft Opvisningen overstaaet.,27,0.0,-0.1
28,1,Den er altid i mine Tanker.,28,0.0,0.35555555555555624
29,1,Uffe og Bodil har ikke meget at lade os høre.,29,0.0,0.0
30,1,"De var dog ude til Chr. Bejers Bryllup i Vesterbek og til Dyrskuet tror jeg nok, saa de kan ikke lade os saa grulig meget høre.",30,0.0,-0.10000000000000003
31,1,"Det er jo nu ogsaa det samme, vi gør som vi vil, om saa vi kunde komme sammen hver Aften.",31,0.0,0.5
32,1,"Nu ikke mere, jeg maa skrive med Blyant.",32,0.0,0.0
33,1,"Pennen faldt ud af Vinduet, og jeg har ikke Tid til at hente.",33,0.0,-0.2
34,1,Ventede du efter Brev sidste Tirsdag ?,34,-1.0,-0.13333333333333341
35,1,Jeg syntes det var for tidlig.,35,0.0,0.0666666666666666
36,1,"I Morgen skriver du vel, kære Trine.",36,2.0,0.826666666666668
37,1,din egen Peter.,37,0.0,0.0
38,1,"Jeg ved ikke om du kan læse det, jeg kan næsten ikke/Hvad mit Fotografi",38,0.0,0.0666666666666666
39,2,Min egen kære Trine!,0,2.0,0.982967400000002
40,2,Jeg har ellers ikke meget at skrive om i aften.,1,0.0,0.0
41,2,"Jeg skulde have skreven til et par af mine Ryslinge-kammerater; men du lille Skjælm sidder altid derinde og hvisker, og saa skal du lige godt have lidt først, inden faar jeg ikke Ro, for der ikke mange Timer, uden du har mine Tanker.",2,3.0,0.8391666666666704
42,2,"Vi skal jo ogsaa benytte Tiden, for i næste Uge kunde det vel gjærne glippe, at vi ikke hørte fra hverandre.",3,0.0,0.3999999999999998
43,2,"Aa jeg er saa glad ved dig og Uffe, at I ikke tager nogen hensyn til det i sidste Brev omtalte.",4,3.0,0.6666666666666661
44,2,"Jeg kan ikke forstaa, at du ikke har mærket noget til Ballet.",5,0.0,-0.0222222222222222
45,2,Du maa have bedre,6,2.0,0.0
46,2,Modstandskraft end jeg.,7,0.0,0.0
47,2,Men det gør slet ikke noget ned,8,0.0,0.30000000000000004
48,2,"Forkølelsen, blot jeg ikke skulde have kommanderet paa Søndag, for vi fik jo da en del talt, og d e t sfp 11 e r j e g hø, j <> r e .",9,2.0,0.2333333333333332
49,2,"Jeg er gaaet og kommen i Tanker om, at hvis jeg havde haft en ældre Broder, som skulde have haft Gaarden, saa.",10,0.0,0.0555555555555556
50,2,"kunde jeg gerne have haft Lyst til at være bleven Landbrugskandidat, det er egentlig Uffe, der har sat mig det ind, men det kan nu ikke lade sig gøre.",11,0.0,0.3666666666666663
51,2,Men det er ellers ikke saa ringe en S t i11i ng.,12,0.0,0.16666666666666663
52,2,"Jeg morede mig ogsaa storartet til Opvisningen; men det var da din Skyld, kære Trine, ellers havde det ikke været morsomt for mig, hvis du ikke havde været der.",13,3.0,0.6733333333333351
53,2,"Ja jeg veed snart ikke,",14,1.0,0.4333333333333334
54,2,"med Turen til Roager, for vi skal vist have Fremmede.",15,0.0,-0.0666666666666666
55,2,"Du kan vel ikke komme hen en anden Dag, for nu er jeg jo ellers altid hjemme.",16,0.0,0.35000000000000064
56,2,"Thomas Nielsen og Kæreste har ikke været hele Vinteren, og jog kunde høre paa ham i Graansager, at de kom vist paa Søndag.",17,2.0,0.514814814814814
57,2,"Jeg kan alligevel ikke forstaa Thomas, for jeg synes, hun er meget ""pjatte""",18,0.0,-0.731111111111111
58,2,"Og det skulde jo dog ikke være saadan, at den ene syntes var bedre end den anden.",19,2.0,-0.1333333333333334
59,2,"Jeg vil da nødig have at du skulde føle dig saadan overfor mig, kære Trine.",20,2.0,0.47111111111111337
60,2,"Mener du ikke at Maren rigtig har budt dig, jeg tror nok dia kan komme for den Sags Skyld, hun synes ellers godt om dig.",21,1.0,-0.2222222222222211
61,2,"Jeg ved ikke, naar jeg kommer ud til jer.",22,0.0,-0.0333333333333334
62,2,Nu har du da faaet et langt Brev.,23,0.0,-0.01666666666666666
63,2,Jeg synes Pennen løber; man kan jo sige Hvad Hjertet er fuld af løber Pennen over af.,24,0.0,1.048888888888889
64,2,Nu ikke mere.,25,0.0,0.0
65,2,Med mange Hilsener og - - - fra din egen Peter.,26,0.0,0.2
66,2,"""det i sidste Brev omtalte"" - formodentlig rygterne i sagen om mejeriet og Jorgen Jensen",27,0.0,-0.1
67,3,Kære Trine!,0,2.0,0.982967400000002
68,3,"Kanske havde du ventet Brev sidste Søndag; men Tiden den løber og jeg var ogsaa i færd med det, men saa kom vi i Tanker om, at vi vilde til Kirke i Skærbæk.",1,0.0,0.5666666666666665
69,3,I Gaar var jeg i Vodder hos min Bedstemoder og Thomas Nielsen.,2,0.0,0.0
70,3,Da jeg var hos min Bedstemor kom Johanne og Ellen.,3,0.0,0.0333333333333334
71,3,"Jeg tænkte snart ikke de vilde have talt til mig mon Gud bevares, jeg kunde snart ikke faa et Ord sagt.",4,-1.0,0.3222222222222222
72,3,"De fortalte at Iver havde været der for nogle Dage siden, de vidste ikke, hvor han havde været, men hans Cykel kunde ikke holde Vejret længe.",5,0.0,-0.1
73,3,Jeg fortalte dig ogsaa at han var cyklet syd paa en Aften.,6,0.0,0.111111111111111
74,3,"Da havde Ester været paa Frifelt, saa det gaar jo helt godt.",7,3.0,0.8
75,3,Du kan tro de er mig haardt ombord med Ringridningen; men nu vil jeg da blive hjemme den her Gang.,8,2.0,0.275
76,3,Jeg vil da vise dem at jeg ikke tor i første Række altid.,9,0.0,0.1777777777777784
