verb,freq
har,1551
er,1059
kommer,831
kom,694
var,548
går,493
komme,474
fået,472
ved,427
se,415
får,405
få,392
fik,381
havde,371
have,357
sende,308
ligger,305
gik,302
sagde,296
skrev,289
skrive,267
gå,263
blive,250
blir,237
haft,236
sige,223
tror,216
kommen,210
sender,191
skal,176
tænker,161
slutter,161
skriver,158
blev,156
tager,151
fortælle,151
været,148
tænke,142
synes,139
tro,139
gøre,137
skrevet,133
tage,132
ser,129
tænkte,129
sidder,124
holde,124
gået,124
bliver,123
sendt,120
siger,119
forstå,114
gør,111
lå,111
står,110
bleven,109
være,108
håber,104
mente,101
sagt,97
spurgte,97
taget,96
syntes,94
vil,94
tog,92
lade,91
gjort,89
kender,89
stod,85
tænkt,80
mener,79
hørt,74
så,72
fortalte,70
vænte,70
give,69
skulde,68
behøver,68
rejser,67
købe,67
kan,66
slutte,65
bestille,65
vilde,64
set,64
finde,64
skreven,63
sove,63
høre,62
spise,60
vidste,59
holder,58
fortalt,56
sad,56
nået,56
ligge,54
gav,54
hils,52
længes,51
hører,51
sover,50
vide,49
købt,48
hjælpe,46
lavet,45
talt,44
huske,44
tale,43
talte,43
giver,43
måtte,42
begynder,41
sat,40
holdt,39
lever,39
lave,39
vænter,39
stå,38
hjælper,37
hilse,37
mangler,36
klage,35
rejse,34
gjorde,34
sov,33
ske,33
givet,33
indrettet,32
kørte,32
begynde,32
sendte,32
varer,32
bruge,31
undskylde,30
sætte,29
passe,29
må,29
sovet,29
koster,29
læse,28
hørte,28
vare,28
kalder,28
nåede,28
faldt,27
fandt,27
arbejde,27
besørge,27
køre,26
takker,26
sidde,26
besøge,26
modtaget,26
såret,26
regner,25
fejre,25
traf,25
spist,25
ønsker,25
mærke,24
lod,24
satte,24
håbe,24
vasket,24
løbe,24
forglemt,24
kogt,24
lad,23
send,23
begyndte,23
bor,23
spørger,23
arbejder,23
lader,22
ligget,22
læst,22
bringe,22
spørge,22
smager,22
drog,21
betale,21
lide,21
prøve,21
begyndt,20
kører,20
fører,20
laver,20
læste,20
